ÎÄ¼þÃû	P	I	D			
CHICHI_X_SF1_TSF0.2.txt	11.5204	0.9999	0.001			
CHICHI_Y_SF1_TSF0.2.txt	11.9962	0.9999	0.001			
CHICHI_Z_SF2_TSF0.2.txt	11.9758	0.9895	0.001			
KOBE_X_SF1.8_TSF0.2.txt	11.9864	1	0.001	12.9483	3.9871	0.0713
KOBE_Y_SF1.5_TSF0.2.txt	11.8652	0.9869	0.001			
KOBE_Z_SF3.8_TSF0.2.txt	11.976	0.9871	0.001			
TABAS_X_SF1_TSF0.4.txt	11.9615	0.9867	0.001	15.9905	3.987	0.091
TABAS_Y_SF1_TSF0.4.txt	11.9712	0.999	0.001			
TABAS_Z_SF1_TSF0.4.txt	11.9878	0.9875	0.001			
Tohuku_X_SF3_TSF0.5.txt	11.9759	0.9864	0.001			
Tohuku_Y_SF3_TSF0.5.txt	11.8561	0.9987	0.001			
Tohuku_Z_SF3_TSF0.5.txt	11.9767	0.9872	0.001			
TORTHR_X_SF1_TSF0.2.txt	11.3991	0.9952	0.001			
TORTHR_Y_SF1.5_TSF0.4.txt	11.9994	0.9545	0.001			
TORTHR_Z_SF1_TSF0.4.txt						
